,磊摹备,铰窍瞒,畴牢牢备,版肺寸,畴牢矫汲,畴牢矫汲沥盔
0,价颇备,15540698,93309,172,29,670
1,碍巢备,17425049,74959,167,32,215
2,碍悼备,11581597,69903,121,22,619
3,辑檬备,11696077,60072,141,14,322
4,畴盔备,12334867,85420,243,29,1008
5,碍辑备,8317204,88733,218,49,1042
6,康殿器备,6448615,60663,174,29,118
7,包厩备,9236593,78430,114,30,435
8,己合备,6467009,73613,175,31,715
9,篮乞备,12361204,85010,154,40,1095
10,悼措巩备,10266951,61612,134,21,224
11,吝尔备,5719284,69341,127,26,859
12,备肺备,8048800,69201,199,32,913
13,辆肺备,22039837,28311,63,21,404
14,付器备,5881397,54002,154,17,284
15,悼累备,10736494,64928,140,14,190
16,吝备,16276987,24174,48,8,74
17,档豪备,5119901,62009,135,36,874
18,碍合备,5709043,63313,100,26,503
19,堡柳备,9415599,50311,95,20,1247
20,剧玫备,4185988,65541,164,40,656
21,辑措巩备,4959137,53756,111,26,388
22,己悼备,7078565,45435,162,20,391
23,侩魂备,6693008,39779,88,25,194
24,陛玫备,916795,39314,73,24,678
